case,family,seed,split,scale_group,units,periods,strategy,status,objective,bb_nodes,formal_lp_solved,probe_lp_solved,inference_time_sec,probe_time_sec,total_runtime_sec,time_repeats_sec,relative_gap,limit_type,lp_backend,instance_id,instance_group,strategy_zh,best_bound,nodes,total_time_sec,timing_repeats,timing_protocol
uc_in_distribution_unit_commitment_u5_t5_seed51009,unit_commitment,51009,uc_in_distribution,train_scale,5,5,GNN图学习分支（种子3）,达到时间上限,206.1516513,402,405,0,0.19707142,0,45.106476,45.106476,0.2032096546,达到时间上限,SciPy-HiGHS,uc_in_distribution_unit_commitment_u5_t5_seed51009,train_scale,GNN图学习分支（种子3）,,402,45.106476,1,单次稳定性补跑
uc_in_distribution_unit_commitment_u4_t4_seed51010,unit_commitment,51010,uc_in_distribution,train_scale,4,4,最接近0.5分支（原规则）,最优,126.4040531,65,68,0,0,0,2.5371121,2.5371121,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u4_t4_seed51010,train_scale,最接近0.5分支（原规则）,,65,2.5371121,1,单次稳定性补跑
uc_in_distribution_unit_commitment_u4_t4_seed51010,unit_commitment,51010,uc_in_distribution,train_scale,4,4,GNN图学习分支（种子1）,最优,126.4040531,89,92,0,0.040871961,0,3.0575684,3.0575684,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u4_t4_seed51010,train_scale,GNN图学习分支（种子1）,,89,3.0575684,1,单次稳定性补跑
uc_in_distribution_unit_commitment_u4_t4_seed51010,unit_commitment,51010,uc_in_distribution,train_scale,4,4,GNN图学习分支（种子2）,最优,126.4040531,89,92,0,0.038788376,0,3.0986673,3.0986673,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u4_t4_seed51010,train_scale,GNN图学习分支（种子2）,,89,3.0986673,1,单次稳定性补跑
uc_in_distribution_unit_commitment_u4_t4_seed51010,unit_commitment,51010,uc_in_distribution,train_scale,4,4,GNN图学习分支（种子3）,最优,126.4040531,89,92,0,0.038567213,0,3.054589,3.054589,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u4_t4_seed51010,train_scale,GNN图学习分支（种子3）,,89,3.054589,1,单次稳定性补跑
uc_in_distribution_unit_commitment_u5_t4_seed51011,unit_commitment,51011,uc_in_distribution,train_scale,5,4,最接近0.5分支（原规则）,不可行,,1,3,0,0,0,0.053851708,0.053851708,,不可行,SciPy-HiGHS,uc_in_distribution_unit_commitment_u5_t4_seed51011,train_scale,最接近0.5分支（原规则）,,1,0.053851708,1,单次稳定性补跑
uc_in_distribution_unit_commitment_u5_t4_seed51011,unit_commitment,51011,uc_in_distribution,train_scale,5,4,GNN图学习分支（种子1）,不可行,,1,3,0,0,0,0.054097667,0.054097667,,不可行,SciPy-HiGHS,uc_in_distribution_unit_commitment_u5_t4_seed51011,train_scale,GNN图学习分支（种子1）,,1,0.054097667,1,单次稳定性补跑
uc_in_distribution_unit_commitment_u5_t4_seed51011,unit_commitment,51011,uc_in_distribution,train_scale,5,4,GNN图学习分支（种子2）,不可行,,1,3,0,0,0,0.055005625,0.055005625,,不可行,SciPy-HiGHS,uc_in_distribution_unit_commitment_u5_t4_seed51011,train_scale,GNN图学习分支（种子2）,,1,0.055005625,1,单次稳定性补跑
uc_in_distribution_unit_commitment_u5_t4_seed51011,unit_commitment,51011,uc_in_distribution,train_scale,5,4,GNN图学习分支（种子3）,不可行,,1,3,0,0,0,0.05356275,0.05356275,,不可行,SciPy-HiGHS,uc_in_distribution_unit_commitment_u5_t4_seed51011,train_scale,GNN图学习分支（种子3）,,1,0.05356275,1,单次稳定性补跑
uc_in_distribution_unit_commitment_u3_t4_seed51012,unit_commitment,51012,uc_in_distribution,train_scale,3,4,最接近0.5分支（原规则）,最优,82.08751422,85,88,0,0,0,1.737802,1.737802,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u3_t4_seed51012,train_scale,最接近0.5分支（原规则）,,85,1.737802,1,单次稳定性补跑
