数据集,案例,seed,units,算法,状态,目标值,节点数,LP求解次数,不可行剪枝数,界剪枝数,整数剪枝数,全局界,相对gap,运行时间,是否与Gurobi一致,备注
batch,batch_units_3_seed_4,4,3,best-bound+active-set,optimal,37.92209,5,8,2,1,0,37.92209,0,0.065971,True,
batch,batch_units_3_seed_4,4,3,best-bound+SciPy-HiGHS,optimal,37.92209,5,8,2,1,0,37.92209,0,0.005097,True,
batch,batch_units_3_seed_4,4,3,Gurobi参考,optimal,37.92209,,,,,,37.92209,0,0.000115,True,optional full MIP reference
batch,batch_units_4_seed_0,0,4,best-bound+active-set,optimal,57.768338,7,10,2,1,1,57.768338,0,1.549079,True,
batch,batch_units_4_seed_0,0,4,best-bound+SciPy-HiGHS,optimal,57.768338,7,10,2,1,1,57.768338,0,0.006435,True,
batch,batch_units_4_seed_0,0,4,Gurobi参考,optimal,57.768338,,,,,,57.768338,0,0.000756,True,optional full MIP reference
batch,batch_units_4_seed_1,1,4,best-bound+active-set,optimal,45.520526,9,12,1,2,2,45.520526,0,1.616121,True,
batch,batch_units_4_seed_1,1,4,best-bound+SciPy-HiGHS,optimal,45.520526,9,12,1,2,2,45.520526,0,0.008695,True,
batch,batch_units_4_seed_1,1,4,Gurobi参考,optimal,45.520526,,,,,,45.520526,0,0.000635,True,optional full MIP reference
batch,batch_units_4_seed_2,2,4,best-bound+active-set,optimal,34.480494,5,8,1,1,1,34.480494,0,1.564261,True,
batch,batch_units_4_seed_2,2,4,best-bound+SciPy-HiGHS,optimal,34.480494,5,8,1,1,1,34.480494,0,0.005372,True,
batch,batch_units_4_seed_2,2,4,Gurobi参考,optimal,34.480494,,,,,,34.480494,0,0.000662,True,optional full MIP reference
batch,batch_units_4_seed_3,3,4,best-bound+active-set,optimal,37.916513,13,16,4,2,1,37.916513,0,1.618416,True,
batch,batch_units_4_seed_3,3,4,best-bound+SciPy-HiGHS,optimal,37.916513,13,16,4,2,1,37.916513,0,0.010469,True,
batch,batch_units_4_seed_3,3,4,Gurobi参考,optimal,37.916513,,,,,,37.916513,0,0.000769,True,optional full MIP reference
batch,batch_units_4_seed_4,4,4,best-bound+active-set,optimal,53.072917,7,10,0,4,0,53.072917,0,1.617682,True,
batch,batch_units_4_seed_4,4,4,best-bound+SciPy-HiGHS,optimal,53.072917,7,10,0,4,0,53.072917,0,0.007096,True,
batch,batch_units_4_seed_4,4,4,Gurobi参考,optimal,53.072917,,,,,,53.072917,0,0.000714,True,optional full MIP reference
batch,batch_units_5_seed_0,0,5,best-bound+active-set,LIMIT,67.876745,1,3,0,0,0,,,1.708939,,raw_status=candidate_limit
batch,batch_units_5_seed_0,0,5,best-bound+SciPy-HiGHS,optimal,54.827235,3,6,0,2,0,54.827235,0,0.004402,True,
batch,batch_units_5_seed_0,0,5,Gurobi参考,optimal,54.827235,,,,,,54.827235,0,0.000652,True,optional full MIP reference
batch,batch_units_5_seed_1,1,5,best-bound+active-set,LIMIT,66.810489,1,3,0,0,0,,,1.705019,,raw_status=candidate_limit
batch,batch_units_5_seed_1,1,5,best-bound+SciPy-HiGHS,optimal,61.081489,13,16,3,4,0,61.081489,0,0.010556,True,
batch,batch_units_5_seed_1,1,5,Gurobi参考,optimal,61.081489,,,,,,61.081489,0,0.000696,True,optional full MIP reference
batch,batch_units_5_seed_2,2,5,best-bound+active-set,LIMIT,55.460747,1,3,0,0,0,,,1.712653,,raw_status=candidate_limit
batch,batch_units_5_seed_2,2,5,best-bound+SciPy-HiGHS,optimal,49.586747,9,12,2,2,1,49.586747,0,0.008501,True,
batch,batch_units_5_seed_2,2,5,Gurobi参考,optimal,49.586747,,,,,,49.586747,0,0.000752,True,optional full MIP reference
batch,batch_units_5_seed_3,3,5,best-bound+active-set,LIMIT,62.640704,1,3,0,0,0,,,1.704667,,raw_status=candidate_limit
batch,batch_units_5_seed_3,3,5,best-bound+SciPy-HiGHS,optimal,59.866756,9,12,2,2,1,59.866756,0,0.008130,True,
batch,batch_units_5_seed_3,3,5,Gurobi参考,optimal,59.866756,,,,,,59.866756,0,0.000925,True,optional full MIP reference
batch,batch_units_5_seed_4,4,5,best-bound+active-set,LIMIT,71.190343,1,3,0,0,0,,,1.712824,,raw_status=candidate_limit
batch,batch_units_5_seed_4,4,5,best-bound+SciPy-HiGHS,optimal,58.273283,7,10,1,2,1,58.273283,0,0.007514,True,
batch,batch_units_5_seed_4,4,5,Gurobi参考,optimal,58.273283,,,,,,58.273283,0,0.000689,True,optional full MIP reference
